"S. No","Time","factory_id","COD - (mg/l) Raw","BOD - (mg/l) Raw","pH - (pH) Raw","TSS - (mg/l) Raw"
"67","2026-02-01 01:06","FACTORY_A","118.95","44.14","7.21","72.63"
"68","2026-02-01 01:07","FACTORY_A","118.61","44.94","7.22","83.26"
"69","2026-02-01 01:08","FACTORY_A","122.57","45.86","7.29","81.96"
"70","2026-02-01 01:09","FACTORY_A","119.43","46.26","7.06","79.01"
"71","2026-02-01 01:10","FACTORY_A","116.17","44.88","7.29","75.96"
"72","2026-02-01 01:11","FACTORY_A","116.60","44.15","7.33","80.20"
"73","2026-02-01 01:12","FACTORY_A","117.24","47.38","7.11","82.24"
"74","2026-02-01 01:13","FACTORY_A","121.49","43.39","7.20","73.00"
"75","2026-02-01 01:14","FACTORY_A","120.43","43.59","7.27","83.05"
"76","2026-02-01 01:15","FACTORY_A","122.07","43.01","7.25","88.69"
"77","2026-02-01 01:16","FACTORY_A","118.72","43.58","7.28","79.68"
"78","2026-02-01 01:17","FACTORY_A","120.48","46.87","7.22","86.52"
"79","2026-02-01 01:18","FACTORY_A","121.88","46.92","7.10","82.37"
"80","2026-02-01 01:19","FACTORY_A","119.07","44.89","7.27","81.32"
"81","2026-02-01 01:20","FACTORY_A","121.37","45.74","7.23","76.50"
"82","2026-02-01 01:21","FACTORY_A","118.01","44.98","7.27","78.29"
"83","2026-02-01 01:22","FACTORY_A","118.91","43.21","7.12","75.10"
"84","2026-02-01 01:23","FACTORY_A","118.85","48.33","7.14","84.72"
"85","2026-02-01 01:24","FACTORY_A","116.41","47.06","7.20","76.28"
"86","2026-02-01 01:25","FACTORY_A","121.46","45.53","7.27","88.81"
"87","2026-02-01 01:26","FACTORY_A","118.59","43.72","7.28","82.19"
"88","2026-02-01 01:27","FACTORY_A","120.04","44.66","7.16","81.97"
"89","2026-02-01 01:28","FACTORY_A","121.44","43.96","7.18","73.38"
"90","2026-02-01 01:29","FACTORY_A","121.34","45.15","7.34","83.33"
"91","2026-02-01 01:30","FACTORY_A","122.00","45.46","7.17","78.90"
"92","2026-02-01 01:31","FACTORY_A","119.70","44.49","7.23","77.18"
"93","2026-02-01 01:32","FACTORY_A","118.73","42.82","7.18","76.72"
"94","2026-02-01 01:33","FACTORY_A","119.76","48.20","7.22","73.79"
"95","2026-02-01 01:34","FACTORY_A","114.94","45.36","7.16","80.05"
"96","2026-02-01 01:35","FACTORY_A","115.66","45.68","7.16","79.17"
"97","2026-02-01 01:36","FACTORY_A","116.03","44.37","7.18","73.43"
"98","2026-02-01 01:37","FACTORY_A","117.01","42.66","7.17","82.57"
"99","2026-02-01 01:38","FACTORY_A","121.20","44.88","7.18","90.64"
"100","2026-02-01 01:39","FACTORY_A","117.28","44.52","7.23","72.88"
"101","2026-02-01 01:40","FACTORY_A","118.87","46.06","7.29","79.43"
"102","2026-02-01 01:41","FACTORY_A","123.90","46.36","7.17","88.29"
"103","2026-02-01 01:42","FACTORY_A","118.93","46.15","7.15","76.11"
"104","2026-02-01 01:43","FACTORY_A","122.21","46.48","7.20","82.20"
"105","2026-02-01 01:44","FACTORY_A","117.20","47.71","7.16","81.96"
"106","2026-02-01 01:45","FACTORY_A","119.38","45.58","7.12","83.29"
"107","2026-02-01 01:46","FACTORY_A","117.15","46.65","7.25","89.16"
"108","2026-02-01 01:47","FACTORY_A","118.98","45.74","7.20","71.05"
"109","2026-02-01 01:48","FACTORY_A","122.52","42.15","7.21","80.95"
"110","2026-02-01 01:49","FACTORY_A","114.82","44.77","7.10","77.50"
"111","2026-02-01 01:50","FACTORY_A","121.30","43.70","7.17","79.80"
"112","2026-02-01 01:51","FACTORY_A","120.71","45.35","7.13","80.23"
"113","2026-02-01 01:52","FACTORY_A","118.22","43.81","7.20","78.53"
"114","2026-02-01 01:53","FACTORY_A","115.66","45.91","7.21","74.56"
"115","2026-02-01 01:54","FACTORY_A","120.22","46.47","7.21","74.90"
"116","2026-02-01 01:55","FACTORY_A","118.41","46.81","7.17","90.63"
"117","2026-02-01 01:56","FACTORY_A","120.70","47.43","7.16","73.09"
"118","2026-02-01 01:57","FACTORY_A","120.07","42.49","7.19","86.13"
"119","2026-02-01 01:58","FACTORY_A","124.81","43.20","7.22","74.82"
"120","2026-02-01 01:59","FACTORY_A","119.28","49.39","7.17","80.48"
"121","2026-02-01 02:00","FACTORY_A","116.93","46.51","7.15","89.84"
"122","2026-02-01 02:01","FACTORY_A","120.54","45.34","7.16","83.97"
"123","2026-02-01 02:02","FACTORY_A","120.66","45.05","7.17","72.81"
"124","2026-02-01 02:03","FACTORY_A","124.08","44.91","7.18","78.31"
"125","2026-02-01 02:04","FACTORY_A","122.51","42.10","7.15","79.87"
"126","2026-02-01 02:05","FACTORY_A","121.07","43.84","7.18","85.15"
"127","2026-02-01 02:06","FACTORY_A","124.39","44.83","7.26","80.24"
"128","2026-02-01 02:07","FACTORY_A","116.43","43.93","7.19","79.21"
"129","2026-02-01 02:08","FACTORY_A","118.08","44.12","7.14","88.60"
"130","2026-02-01 02:09","FACTORY_A","117.22","48.84","7.09","87.90"
"131","2026-02-01 02:10","FACTORY_A","118.83","44.62","7.29","83.49"
"132","2026-02-01 02:11","FACTORY_A","115.87","45.42","7.26","76.87"
"133","2026-02-01 02:12","FACTORY_A","121.91","45.36","7.21","66.74"
"134","2026-02-01 02:13","FACTORY_A","119.33","45.88","7.26","73.60"
"135","2026-02-01 02:14","FACTORY_A","115.59","44.28","7.23","72.28"
"136","2026-02-01 02:15","FACTORY_A","116.95","46.87","7.20","79.69"
"137","2026-02-01 02:16","FACTORY_A","120.94","45.67","7.14","84.69"
"138","2026-02-01 02:17","FACTORY_A","122.51","43.07","7.30","89.88"
"139","2026-02-01 02:18","FACTORY_A","125.99","44.84","7.18","86.37"
"140","2026-02-01 02:19","FACTORY_A","128.74","44.74","7.18","76.45"
"141","2026-02-01 02:20","FACTORY_A","121.24","44.67","7.20","81.27"
"142","2026-02-01 02:21","FACTORY_A","117.03","45.76","7.20","82.01"
"143","2026-02-01 02:22","FACTORY_A","113.60","45.95","7.23","72.20"
"144","2026-02-01 02:23","FACTORY_A","120.80","45.77","7.22","75.63"
"145","2026-02-01 02:24","FACTORY_A","117.56","45.51","7.17","77.85"
"146","2026-02-01 02:25","FACTORY_A","118.75","45.13","7.20","90.65"
"147","2026-02-01 02:26","FACTORY_A","118.16","41.77","7.23","81.93"
"148","2026-02-01 02:27","FACTORY_A","119.58","46.17","7.17","73.43"
"149","2026-02-01 02:28","FACTORY_A","123.20","45.73","7.27","77.88"
"150","2026-02-01 02:29","FACTORY_A","120.47","43.52","7.20","82.24"
"151","2026-02-01 02:30","FACTORY_A","119.52","45.42","7.28","78.74"
"152","2026-02-01 02:31","FACTORY_A","116.89","45.97","7.13","78.22"
"153","2026-02-01 02:32","FACTORY_A","114.98","46.76","7.23","83.66"
"154","2026-02-01 02:33","FACTORY_A","118.54","45.77","7.16","87.01"
"155","2026-02-01 02:34","FACTORY_A","119.84","45.48","7.17","86.08"
"156","2026-02-01 02:35","FACTORY_A","125.30","46.42","7.25","78.50"
"157","2026-02-01 02:36","FACTORY_A","120.39","44.54","7.19","79.17"
"158","2026-02-01 02:37","FACTORY_A","122.95","45.62","7.33","78.45"
"159","2026-02-01 02:38","FACTORY_A","118.50","44.07","7.23","85.28"
"160","2026-02-01 02:39","FACTORY_A","116.45","46.67","7.17","78.06"
"161","2026-02-01 02:40","FACTORY_A","117.10","42.59","7.23","70.38"
"162","2026-02-01 02:41","FACTORY_A","117.82","46.23","7.19","82.41"
"163","2026-02-01 02:42","FACTORY_A","126.39","45.03","7.24","82.65"
"164","2026-02-01 02:43","FACTORY_A","117.54","46.45","7.19","77.97"
"165","2026-02-01 02:44","FACTORY_A","122.52","43.83","7.22","89.27"
"166","2026-02-01 02:45","FACTORY_A","117.29","45.13","7.21","77.29"
"167","2026-02-01 02:46","FACTORY_A","122.79","45.09","7.20","87.09"
"168","2026-02-01 02:47","FACTORY_A","121.15","45.65","7.25","73.30"
"169","2026-02-01 02:48","FACTORY_A","119.53","43.43","7.11","81.38"
"170","2026-02-01 02:49","FACTORY_A","119.88","45.95","7.20","75.96"
"171","2026-02-01 02:50","FACTORY_A","118.04","42.23","7.16","79.63"
"172","2026-02-01 02:51","FACTORY_A","121.34","44.00","7.13","83.81"
"173","2026-02-01 02:52","FACTORY_A","118.64","42.66","7.16","77.15"
"174","2026-02-01 02:53","FACTORY_A","116.32","46.24","7.17","76.51"
"175","2026-02-01 02:54","FACTORY_A","116.17","45.60","7.19","78.89"
"176","2026-02-01 02:55","FACTORY_A","120.52","45.68","7.22","98.80"
"177","2026-02-01 02:56","FACTORY_A","124.74","47.21","7.23","81.01"
"178","2026-02-01 02:57","FACTORY_A","120.48","44.53","7.18","80.72"
"179","2026-02-01 02:58","FACTORY_A","119.64","45.91","7.28","82.17"
"180","2026-02-01 02:59","FACTORY_A","120.86","45.10","7.18","71.42"
"181","2026-02-01 03:00","FACTORY_A","123.92","44.87","7.10","84.60"
"182","2026-02-01 03:01","FACTORY_A","120.66","46.96","7.18","83.56"
"183","2026-02-01 03:02","FACTORY_A","118.77","48.12","7.20","71.08"
"184","2026-02-01 03:03","FACTORY_A","123.32","44.35","7.04","92.02"
"185","2026-02-01 03:04","FACTORY_A","121.29","46.25","7.26","80.02"
"186","2026-02-01 03:05","FACTORY_A","124.61","45.48","7.20","74.42"
"187","2026-02-01 03:06","FACTORY_A","120.55","45.50","7.14","81.57"
"188","2026-02-01 03:07","FACTORY_A","116.33","45.37","7.15","75.46"
"189","2026-02-01 03:08","FACTORY_A","115.90","44.50","7.24","71.95"
"190","2026-02-01 03:09","FACTORY_A","124.95","39.62","7.24","78.64"
"191","2026-02-01 03:10","FACTORY_A","125.17","47.30","7.17","78.86"
"192","2026-02-01 03:11","FACTORY_A","119.46","43.96","7.13","72.13"
"193","2026-02-01 03:12","FACTORY_A","118.85","44.64","7.21","76.10"
"194","2026-02-01 03:13","FACTORY_A","124.38","44.67","7.22","74.83"
"195","2026-02-01 03:14","FACTORY_A","116.68","43.82","7.23","78.21"
"196","2026-02-01 03:15","FACTORY_A","117.32","45.36","7.17","83.24"
"197","2026-02-01 03:16","FACTORY_A","121.93","44.93","7.19","80.71"
"198","2026-02-01 03:17","FACTORY_A","118.82","43.93","7.20","79.84"
"199","2026-02-01 03:18","FACTORY_A","119.98","45.22","7.25","70.87"
"200","2026-02-01 03:19","FACTORY_A","119.51","44.95","7.27","79.86"
"201","2026-02-01 03:20","FACTORY_A","121.01","46.39","7.28","74.56"
"202","2026-02-01 03:21","FACTORY_A","124.22","42.99","7.27","71.41"
"203","2026-02-01 03:22","FACTORY_A","120.27","43.79","7.29","84.39"
"204","2026-02-01 03:23","FACTORY_A","121.93","46.09","7.25","73.35"
"205","2026-02-01 03:24","FACTORY_A","113.85","44.04","7.17","80.47"
"206","2026-02-01 03:25","FACTORY_A","119.85","43.64","7.28","77.56"
"207","2026-02-01 03:26","FACTORY_A","117.47","44.11","7.13","75.23"
"208","2026-02-01 03:27","FACTORY_A","116.34","44.85","7.32","86.10"
"209","2026-02-01 03:28","FACTORY_A","117.37","44.85","7.15","77.00"
"210","2026-02-01 03:29","FACTORY_A","119.00","44.69","7.24","77.34"
"211","2026-02-01 03:30","FACTORY_A","122.75","43.46","7.27","76.32"
"212","2026-02-01 03:31","FACTORY_A","116.02","46.16","7.22","80.88"
"213","2026-02-01 03:32","FACTORY_A","120.09","46.99","7.10","79.20"
"214","2026-02-01 03:33","FACTORY_A","118.55","42.13","7.15","76.49"
"215","2026-02-01 03:34","FACTORY_A","119.02","42.67","7.22","75.39"
"216","2026-02-01 03:35","FACTORY_A","123.01","46.50","7.23","79.79"
"217","2026-02-01 03:36","FACTORY_A","121.61","47.35","7.19","76.75"
"218","2026-02-01 03:37","FACTORY_A","124.01","41.81","7.20","88.62"
"219","2026-02-01 03:38","FACTORY_A","119.54","46.22","7.13","77.37"
"220","2026-02-01 03:39","FACTORY_A","117.91","47.46","7.29","81.67"
"221","2026-02-01 03:40","FACTORY_A","119.33","43.71","7.18","79.55"
"222","2026-02-01 03:41","FACTORY_A","120.73","47.37","7.24","78.55"
"223","2026-02-01 03:42","FACTORY_A","120.53","44.73","7.27","84.50"
"224","2026-02-01 03:43","FACTORY_A","116.75","45.47","7.14","82.90"
"225","2026-02-01 03:44","FACTORY_A","120.27","43.92","7.21","82.80"
"226","2026-02-01 03:45","FACTORY_A","120.68","46.50","7.21","82.75"
"227","2026-02-01 03:46","FACTORY_A","127.55","46.25","7.19","71.93"
"228","2026-02-01 03:47","FACTORY_A","125.63","47.59","7.25","82.20"
"229","2026-02-01 03:48","FACTORY_A","117.44","47.16","7.17","78.76"
"230","2026-02-01 03:49","FACTORY_A","119.14","44.99","7.20","77.44"
"231","2026-02-01 03:50","FACTORY_A","115.61","49.66","7.18","97.30"
"232","2026-02-01 03:51","FACTORY_A","118.23","47.03","7.32","72.63"
"233","2026-02-01 03:52","FACTORY_A","120.95","45.81","7.17","79.55"
"234","2026-02-01 03:53","FACTORY_A","123.62","43.50","7.24","79.14"
"235","2026-02-01 03:54","FACTORY_A","117.81","42.70","7.29","79.59"
"236","2026-02-01 03:55","FACTORY_A","118.04","42.83","7.15","74.93"
"237","2026-02-01 03:56","FACTORY_A","113.56","43.60","7.20","81.13"
"238","2026-02-01 03:57","FACTORY_A","119.51","47.07","7.15","74.38"
"239","2026-02-01 03:58","FACTORY_A","116.81","45.73","7.10","81.42"
"240","2026-02-01 03:59","FACTORY_A","118.41","44.08","7.16","80.78"
"241","2026-02-01 04:00","FACTORY_A","117.37","44.80","7.17","78.78"
"242","2026-02-01 04:01","FACTORY_A","119.72","44.61","7.17","79.64"
"243","2026-02-01 04:02","FACTORY_A","114.73","46.20","7.19","87.92"
"244","2026-02-01 04:03","FACTORY_A","115.60","43.68","7.20","82.89"
"245","2026-02-01 04:04","FACTORY_A","126.39","45.52","7.14","80.87"
"246","2026-02-01 04:05","FACTORY_A","116.14","45.45","7.22","82.12"
"247","2026-02-01 04:06","FACTORY_A","116.71","43.73","7.26","80.20"
"248","2026-02-01 04:07","FACTORY_A","125.51","47.38","7.27","82.76"
"249","2026-02-01 04:08","FACTORY_A","128.72","44.56","7.19","76.97"
"250","2026-02-01 04:09","FACTORY_A","116.49","43.51","7.24","91.05"
"251","2026-02-01 04:10","FACTORY_A","118.90","46.28","7.17","80.94"
"252","2026-02-01 04:11","FACTORY_A","121.02","45.08","7.18","94.13"
"253","2026-02-01 04:12","FACTORY_A","125.19","45.61","7.22","91.08"
"254","2026-02-01 04:13","FACTORY_A","117.04","43.22","7.18","77.48"
"255","2026-02-01 04:14","FACTORY_A","119.26","46.22","7.14","81.20"
"256","2026-02-01 04:15","FACTORY_A","122.33","48.26","7.24","81.83"
"257","2026-02-01 04:16","FACTORY_A","121.30","43.11","7.16","84.67"
"258","2026-02-01 04:17","FACTORY_A","118.87","45.53","7.17","80.66"
"259","2026-02-01 04:18","FACTORY_A","119.60","43.82","7.25","86.03"
"260","2026-02-01 04:19","FACTORY_A","115.88","49.03","7.23","71.20"
"261","2026-02-01 04:20","FACTORY_A","119.29","46.86","7.21","76.95"
"262","2026-02-01 04:21","FACTORY_A","119.20","45.42","7.13","79.05"
"263","2026-02-01 04:22","FACTORY_A","120.70","43.16","7.14","76.67"
"264","2026-02-01 04:23","FACTORY_A","118.33","43.52","7.22","71.34"
"265","2026-02-01 04:24","FACTORY_A","121.41","46.12","7.23","84.42"
"266","2026-02-01 04:25","FACTORY_A","123.04","42.96","7.21","74.47"
"267","2026-02-01 04:26","FACTORY_A","120.47","43.00","7.18","76.63"
"268","2026-02-01 04:27","FACTORY_A","121.06","45.01","7.17","83.77"
"269","2026-02-01 04:28","FACTORY_A","120.16","45.20","7.21","86.12"
"270","2026-02-01 04:29","FACTORY_A","120.00","45.57","7.14","77.17"
"271","2026-02-01 04:30","FACTORY_A","117.84","44.34","7.20","74.82"
"272","2026-02-01 04:31","FACTORY_A","120.95","46.38","7.13","75.93"
"273","2026-02-01 04:32","FACTORY_A","119.71","43.71","7.15","85.57"
"274","2026-02-01 04:33","FACTORY_A","126.28","45.94","7.21","85.86"
"275","2026-02-01 04:34","FACTORY_A","124.72","45.32","7.23","81.68"
"276","2026-02-01 04:35","FACTORY_A","121.16","45.90","7.22","81.24"
"277","2026-02-01 04:36","FACTORY_A","117.71","46.77","7.14","73.41"
"278","2026-02-01 04:37","FACTORY_A","116.66","44.32","7.11","82.33"
"279","2026-02-01 04:38","FACTORY_A","123.57","44.01","7.20","83.93"
"280","2026-02-01 04:39","FACTORY_A","120.79","42.47","7.11","80.83"
"281","2026-02-01 04:40","FACTORY_A","121.44","41.97","7.25","81.01"
"282","2026-02-01 04:41","FACTORY_A","114.77","44.74","7.15","74.84"
"283","2026-02-01 04:42","FACTORY_A","122.78","44.84","7.31","85.84"
"284","2026-02-01 04:43","FACTORY_A","121.36","43.37","7.15","73.20"
"285","2026-02-01 04:44","FACTORY_A","116.67","43.69","7.22","79.92"
"286","2026-02-01 04:45","FACTORY_A","118.59","47.29","7.16","82.29"
"287","2026-02-01 04:46","FACTORY_A","120.79","46.31","7.19","85.71"
"288","2026-02-01 04:47","FACTORY_A","120.16","43.11","7.21","85.27"
"289","2026-02-01 04:48","FACTORY_A","119.12","44.34","7.24","85.70"
"290","2026-02-01 04:49","FACTORY_A","119.69","45.61","7.25","78.49"
"291","2026-02-01 04:50","FACTORY_A","119.24","44.06","7.24","91.62"
"292","2026-02-01 04:51","FACTORY_A","120.46","43.79","7.25","85.44"
"293","2026-02-01 04:52","FACTORY_A","124.41","44.49","7.17","78.24"
"294","2026-02-01 04:53","FACTORY_A","112.30","46.64","7.23","78.56"
"295","2026-02-01 04:54","FACTORY_A","119.29","46.77","7.18","83.80"
"296","2026-02-01 04:55","FACTORY_A","120.53","43.90","7.25","77.66"
"297","2026-02-01 04:56","FACTORY_A","120.89","45.69","7.21","73.61"
"298","2026-02-01 04:57","FACTORY_A","118.88","44.99","7.23","80.41"
"299","2026-02-01 04:58","FACTORY_A","114.73","43.49","7.21","68.64"
"300","2026-02-01 04:59","FACTORY_A","120.98","44.55","7.24","81.79"
"301","2026-02-01 05:00","FACTORY_A","125.18","43.10","7.16","83.19"
"302","2026-02-01 05:01","FACTORY_A","115.40","46.74","7.12","78.67"
"303","2026-02-01 05:02","FACTORY_A","122.59","47.33","7.25","85.75"
"304","2026-02-01 05:03","FACTORY_A","119.01","44.38","7.27","84.26"
"305","2026-02-01 05:04","FACTORY_A","119.82","44.03","7.19","74.91"
"306","2026-02-01 05:05","FACTORY_A","116.84","46.58","7.24","80.22"
"307","2026-02-01 05:06","FACTORY_A","119.00","46.82","7.12","77.40"
"308","2026-02-01 05:07","FACTORY_A","123.90","43.33","7.17","78.38"
"309","2026-02-01 05:08","FACTORY_A","121.75","44.78","7.20","85.73"
"310","2026-02-01 05:09","FACTORY_A","125.20","44.91","7.11","83.13"
"311","2026-02-01 05:10","FACTORY_A","123.53","43.84","7.12","76.41"
"312","2026-02-01 05:11","FACTORY_A","121.32","45.58","7.21","81.12"
"313","2026-02-01 05:12","FACTORY_A","125.23","43.95","7.17","76.22"
"314","2026-02-01 05:13","FACTORY_A","121.32","44.19","7.18","77.58"
"315","2026-02-01 05:14","FACTORY_A","122.48","44.85","7.18","87.70"
"316","2026-02-01 05:15","FACTORY_A","119.11","42.77","7.14","92.73"
"317","2026-02-01 05:16","FACTORY_A","120.20","41.92","7.19","88.90"
"318","2026-02-01 05:17","FACTORY_A","117.91","46.38","7.20","81.39"
"319","2026-02-01 05:18","FACTORY_A","122.97","43.89","7.17","80.92"
"320","2026-02-01 05:19","FACTORY_A","116.47","48.20","7.17","85.10"
"321","2026-02-01 05:20","FACTORY_A","122.35","47.96","7.19","80.51"
"322","2026-02-01 05:21","FACTORY_A","119.43","44.24","7.24","72.87"
"323","2026-02-01 05:22","FACTORY_A","123.51","48.51","7.20","89.09"
"324","2026-02-01 05:23","FACTORY_A","122.25","46.41","7.10","74.06"
"325","2026-02-01 05:24","FACTORY_A","125.46","44.03","7.14","86.04"
"326","2026-02-01 05:25","FACTORY_A","122.19","41.13","7.25","83.80"
"327","2026-02-01 05:26","FACTORY_A","115.28","46.03","7.17","89.30"
"328","2026-02-01 05:27","FACTORY_A","119.80","45.05","7.20","84.31"
"329","2026-02-01 05:28","FACTORY_A","116.48","45.65","7.30","77.06"
"330","2026-02-01 05:29","FACTORY_A","118.45","44.66","7.23","85.43"
"331","2026-02-01 05:30","FACTORY_A","124.53","43.28","7.09","78.18"
"332","2026-02-01 05:31","FACTORY_A","121.91","44.36","7.27","75.11"
"333","2026-02-01 05:32","FACTORY_A","117.90","46.06","7.21","70.84"
"334","2026-02-01 05:33","FACTORY_A","116.96","44.47","7.22","79.38"
"335","2026-02-01 05:34","FACTORY_A","120.10","44.46","7.22","71.56"
"336","2026-02-01 05:35","FACTORY_A","116.35","42.72","7.25","87.18"
"337","2026-02-01 05:36","FACTORY_A","117.99","45.14","7.20","72.15"
"338","2026-02-01 05:37","FACTORY_A","120.94","43.33","7.13","78.10"
"339","2026-02-01 05:38","FACTORY_A","123.47","46.38","7.22","78.31"
"340","2026-02-01 05:39","FACTORY_A","121.83","43.90","7.13","80.86"
"341","2026-02-01 05:40","FACTORY_A","113.13","44.56","7.29","75.66"
"342","2026-02-01 05:41","FACTORY_A","120.91","48.25","7.18","85.67"
"343","2026-02-01 05:42","FACTORY_A","120.22","44.54","7.20","80.82"
"344","2026-02-01 05:43","FACTORY_A","121.24","44.34","7.17","79.91"
"345","2026-02-01 05:44","FACTORY_A","124.85","45.88","7.22","76.75"
"346","2026-02-01 05:45","FACTORY_A","113.81","42.32","7.22","82.75"
"347","2026-02-01 05:46","FACTORY_A","118.23","46.88","7.17","86.99"
"348","2026-02-01 05:47","FACTORY_A","121.77","46.49","7.22","93.47"
"349","2026-02-01 05:48","FACTORY_A","115.26","45.79","7.20","75.29"
"350","2026-02-01 05:49","FACTORY_A","124.43","39.93","7.20","79.32"
"351","2026-02-01 05:50","FACTORY_A","121.11","44.61","7.16","70.46"
"352","2026-02-01 05:51","FACTORY_A","122.54","43.09","7.32","83.40"
"353","2026-02-01 05:52","FACTORY_A","118.29","46.69","7.26","73.17"
"354","2026-02-01 05:53","FACTORY_A","122.44","46.58","7.24","81.38"
"355","2026-02-01 05:54","FACTORY_A","123.21","45.58","7.26","86.17"
