"S. No","Time","factory_id","COD - (mg/l) Raw","BOD - (mg/l) Raw","pH - (pH) Raw","TSS - (mg/l) Raw"
"108","2026-02-01 01:47","FACTORY_C","115.00","45.52","7.15","79.02"
"109","2026-02-01 01:48","FACTORY_C","115.00","46.95","7.24","81.59"
"110","2026-02-01 01:49","FACTORY_C","115.00","44.01","7.15","82.69"
"111","2026-02-01 01:50","FACTORY_C","115.00","44.61","7.16","76.08"
"112","2026-02-01 01:51","FACTORY_C","115.00","44.78","7.23","78.31"
"113","2026-02-01 01:52","FACTORY_C","115.00","43.49","7.28","75.25"
"114","2026-02-01 01:53","FACTORY_C","115.00","44.30","7.07","80.77"
"115","2026-02-01 01:54","FACTORY_C","115.00","43.92","7.25","72.32"
"116","2026-02-01 01:55","FACTORY_C","115.00","44.31","7.21","82.59"
"117","2026-02-01 01:56","FACTORY_C","115.00","42.37","7.17","77.15"
"118","2026-02-01 01:57","FACTORY_C","115.00","45.57","7.13","79.93"
"119","2026-02-01 01:58","FACTORY_C","115.00","45.42","7.17","79.76"
"120","2026-02-01 01:59","FACTORY_C","115.00","44.00","7.19","85.17"
"121","2026-02-01 02:00","FACTORY_C","115.00","44.89","7.25","82.80"
"122","2026-02-01 02:01","FACTORY_C","115.00","43.04","7.15","77.85"
"123","2026-02-01 02:02","FACTORY_C","115.00","46.20","7.18","80.84"
"124","2026-02-01 02:03","FACTORY_C","115.00","45.89","7.20","74.81"
"125","2026-02-01 02:04","FACTORY_C","115.00","46.71","7.24","73.26"
"126","2026-02-01 02:05","FACTORY_C","115.00","44.41","7.11","87.42"
"127","2026-02-01 02:06","FACTORY_C","115.00","47.19","7.20","77.02"
"128","2026-02-01 02:07","FACTORY_C","115.00","45.89","7.21","79.71"
"129","2026-02-01 02:08","FACTORY_C","115.00","47.53","7.27","80.34"
"130","2026-02-01 02:09","FACTORY_C","115.00","46.41","7.20","86.86"
"131","2026-02-01 02:10","FACTORY_C","115.00","43.57","7.14","88.34"
"132","2026-02-01 02:11","FACTORY_C","115.00","45.55","7.16","79.19"
"133","2026-02-01 02:12","FACTORY_C","115.00","47.51","7.14","77.39"
"134","2026-02-01 02:13","FACTORY_C","115.00","43.80","7.13","73.66"
"135","2026-02-01 02:14","FACTORY_C","115.00","45.15","7.15","75.98"
"136","2026-02-01 02:15","FACTORY_C","115.00","44.55","7.01","80.25"
"137","2026-02-01 02:16","FACTORY_C","115.00","44.13","7.23","73.73"
"138","2026-02-01 02:17","FACTORY_C","115.00","44.62","7.17","83.60"
"139","2026-02-01 02:18","FACTORY_C","115.00","45.80","7.23","82.29"
"140","2026-02-01 02:19","FACTORY_C","115.00","44.51","7.23","74.72"
"141","2026-02-01 02:20","FACTORY_C","115.00","42.27","7.18","79.50"
"142","2026-02-01 02:21","FACTORY_C","115.00","45.16","7.16","79.31"
"143","2026-02-01 02:22","FACTORY_C","115.00","47.25","7.25","76.27"
"144","2026-02-01 02:23","FACTORY_C","115.00","44.93","7.13","84.12"
"145","2026-02-01 02:24","FACTORY_C","115.00","45.89","7.17","87.05"
"146","2026-02-01 02:25","FACTORY_C","115.00","44.25","7.18","80.00"
"147","2026-02-01 02:26","FACTORY_C","115.00","45.64","7.18","82.26"
"148","2026-02-01 02:27","FACTORY_C","115.00","46.10","7.15","76.67"
"149","2026-02-01 02:28","FACTORY_C","115.00","44.39","7.17","88.34"
"150","2026-02-01 02:29","FACTORY_C","115.00","43.98","7.22","79.95"
"151","2026-02-01 02:30","FACTORY_C","115.00","45.85","7.25","91.54"
"152","2026-02-01 02:31","FACTORY_C","115.00","46.14","7.18","77.22"
"153","2026-02-01 02:32","FACTORY_C","115.00","46.13","7.19","82.09"
"154","2026-02-01 02:33","FACTORY_C","115.00","47.23","7.23","78.04"
"155","2026-02-01 02:34","FACTORY_C","115.00","44.59","7.22","78.61"
"156","2026-02-01 02:35","FACTORY_C","115.00","45.72","7.26","83.62"
"157","2026-02-01 02:36","FACTORY_C","115.00","44.76","7.22","79.26"
"158","2026-02-01 02:37","FACTORY_C","115.00","44.01","7.22","85.60"
"159","2026-02-01 02:38","FACTORY_C","115.00","45.55","7.21","82.37"
"160","2026-02-01 02:39","FACTORY_C","115.00","44.74","7.21","79.11"
"161","2026-02-01 02:40","FACTORY_C","115.00","45.41","7.24","85.01"
"162","2026-02-01 02:41","FACTORY_C","115.00","46.64","7.21","78.15"
"163","2026-02-01 02:42","FACTORY_C","115.00","46.62","7.24","81.32"
"164","2026-02-01 02:43","FACTORY_C","115.00","41.70","7.29","76.31"
"165","2026-02-01 02:44","FACTORY_C","115.00","45.21","7.18","86.13"
"166","2026-02-01 02:45","FACTORY_C","115.00","45.50","7.18","83.32"
"167","2026-02-01 02:46","FACTORY_C","115.00","46.25","7.20","80.33"
"168","2026-02-01 02:47","FACTORY_C","115.00","44.32","7.22","77.98"
"169","2026-02-01 02:48","FACTORY_C","115.00","44.87","7.27","84.03"
"170","2026-02-01 02:49","FACTORY_C","115.00","44.52","7.27","76.00"
"171","2026-02-01 02:50","FACTORY_C","115.00","44.14","7.19","79.00"
"172","2026-02-01 02:51","FACTORY_C","115.00","44.08","7.19","78.02"
"173","2026-02-01 02:52","FACTORY_C","115.00","42.84","7.25","76.12"
"174","2026-02-01 02:53","FACTORY_C","115.00","43.64","7.10","82.23"
"175","2026-02-01 02:54","FACTORY_C","115.00","43.53","7.18","80.68"
"176","2026-02-01 02:55","FACTORY_C","115.00","44.64","7.18","86.58"
"177","2026-02-01 02:56","FACTORY_C","115.00","45.50","7.10","81.35"
"178","2026-02-01 02:57","FACTORY_C","115.00","43.85","7.27","78.23"
"179","2026-02-01 02:58","FACTORY_C","115.00","46.29","7.17","79.87"
"180","2026-02-01 02:59","FACTORY_C","115.00","42.29","7.26","80.14"
"181","2026-02-01 03:00","FACTORY_C","115.00","45.25","7.20","79.10"
"182","2026-02-01 03:01","FACTORY_C","115.00","44.02","7.20","86.92"
"183","2026-02-01 03:02","FACTORY_C","115.00","45.12","7.17","74.98"
"184","2026-02-01 03:03","FACTORY_C","115.00","45.18","7.15","87.19"
"185","2026-02-01 03:04","FACTORY_C","115.00","45.24","7.19","73.83"
"186","2026-02-01 03:05","FACTORY_C","115.00","46.56","7.20","85.18"
"187","2026-02-01 03:06","FACTORY_C","115.00","44.31","7.24","74.21"
"188","2026-02-01 03:07","FACTORY_C","115.00","44.23","7.17","82.30"
"189","2026-02-01 03:08","FACTORY_C","115.00","43.61","7.23","81.81"
"190","2026-02-01 03:09","FACTORY_C","115.00","44.30","7.16","78.33"
"191","2026-02-01 03:10","FACTORY_C","115.00","45.19","7.14","83.04"
"192","2026-02-01 03:11","FACTORY_C","115.00","43.78","7.21","77.87"
"193","2026-02-01 03:12","FACTORY_C","115.00","41.34","7.29","84.19"
"194","2026-02-01 03:13","FACTORY_C","115.00","46.01","7.23","78.39"
"195","2026-02-01 03:14","FACTORY_C","115.00","43.96","7.16","78.68"
"196","2026-02-01 03:15","FACTORY_C","115.00","44.52","7.20","82.25"
"197","2026-02-01 03:16","FACTORY_C","115.00","42.70","7.22","79.06"
"198","2026-02-01 03:17","FACTORY_C","115.00","43.78","7.16","71.95"
"199","2026-02-01 03:18","FACTORY_C","115.00","43.68","7.21","69.65"
"200","2026-02-01 03:19","FACTORY_C","115.00","44.24","7.11","81.59"
"201","2026-02-01 03:20","FACTORY_C","115.00","41.42","7.07","86.72"
"202","2026-02-01 03:21","FACTORY_C","115.00","45.32","7.16","84.57"
"203","2026-02-01 03:22","FACTORY_C","115.00","46.34","7.21","76.45"
"204","2026-02-01 03:23","FACTORY_C","115.00","45.43","7.27","77.53"
"205","2026-02-01 03:24","FACTORY_C","115.00","45.29","7.10","78.06"
"206","2026-02-01 03:25","FACTORY_C","115.00","44.95","7.23","81.53"
"207","2026-02-01 03:26","FACTORY_C","115.00","46.15","7.18","89.00"
"208","2026-02-01 03:27","FACTORY_C","115.00","42.23","7.20","81.13"
"209","2026-02-01 03:28","FACTORY_C","115.00","47.77","7.18","74.95"
"210","2026-02-01 03:29","FACTORY_C","115.00","45.36","7.14","83.52"
"211","2026-02-01 03:30","FACTORY_C","115.00","46.34","7.15","87.30"
"212","2026-02-01 03:31","FACTORY_C","115.00","43.45","7.17","77.95"
"213","2026-02-01 03:32","FACTORY_C","115.00","43.14","7.18","85.26"
"214","2026-02-01 03:33","FACTORY_C","115.00","44.50","7.25","69.49"
"215","2026-02-01 03:34","FACTORY_C","115.00","43.75","7.19","84.41"
"216","2026-02-01 03:35","FACTORY_C","115.00","43.84","7.24","71.80"
"217","2026-02-01 03:36","FACTORY_C","115.00","44.43","7.27","78.46"
"218","2026-02-01 03:37","FACTORY_C","115.00","44.66","7.12","80.53"
"219","2026-02-01 03:38","FACTORY_C","115.00","44.09","7.17","87.17"
"220","2026-02-01 03:39","FACTORY_C","115.00","46.05","7.17","77.97"
"221","2026-02-01 03:40","FACTORY_C","115.00","45.80","7.18","78.41"
"222","2026-02-01 03:41","FACTORY_C","115.00","45.30","7.18","80.33"
"223","2026-02-01 03:42","FACTORY_C","115.00","47.37","7.18","70.79"
"224","2026-02-01 03:43","FACTORY_C","115.00","44.94","7.27","84.92"
"225","2026-02-01 03:44","FACTORY_C","115.00","46.93","7.23","83.95"
"226","2026-02-01 03:45","FACTORY_C","115.00","45.44","7.22","79.99"
"227","2026-02-01 03:46","FACTORY_C","115.00","43.76","7.29","82.48"
"228","2026-02-01 03:47","FACTORY_C","115.00","45.04","7.09","80.79"
"229","2026-02-01 03:48","FACTORY_C","115.00","42.99","7.22","84.25"
"230","2026-02-01 03:49","FACTORY_C","115.00","45.78","7.15","78.95"
"231","2026-02-01 03:50","FACTORY_C","115.00","44.39","7.18","81.08"
"232","2026-02-01 03:51","FACTORY_C","115.00","46.95","7.19","81.72"
"233","2026-02-01 03:52","FACTORY_C","115.00","43.70","7.14","83.28"
"234","2026-02-01 03:53","FACTORY_C","115.00","44.35","7.14","70.79"
"235","2026-02-01 03:54","FACTORY_C","115.00","43.38","7.21","77.58"
"236","2026-02-01 03:55","FACTORY_C","115.00","46.07","7.23","83.65"
"237","2026-02-01 03:56","FACTORY_C","115.00","47.10","7.14","79.97"
"238","2026-02-01 03:57","FACTORY_C","115.00","45.60","7.12","80.57"
"239","2026-02-01 03:58","FACTORY_C","115.00","44.13","7.11","79.52"
"240","2026-02-01 03:59","FACTORY_C","115.00","43.46","7.22","82.54"
"241","2026-02-01 04:00","FACTORY_C","115.00","46.20","7.18","76.04"
"242","2026-02-01 04:01","FACTORY_C","115.00","43.26","7.22","84.44"
"243","2026-02-01 04:02","FACTORY_C","115.00","47.29","7.31","77.26"
"244","2026-02-01 04:03","FACTORY_C","115.00","46.31","7.12","80.83"
"245","2026-02-01 04:04","FACTORY_C","115.00","45.22","7.25","74.47"
"246","2026-02-01 04:05","FACTORY_C","115.00","45.56","7.24","78.28"
"247","2026-02-01 04:06","FACTORY_C","115.00","46.96","7.22","86.68"
"248","2026-02-01 04:07","FACTORY_C","115.00","42.71","7.20","81.69"
"249","2026-02-01 04:08","FACTORY_C","115.00","45.81","7.16","79.62"
"250","2026-02-01 04:09","FACTORY_C","115.00","42.93","7.17","89.49"
"251","2026-02-01 04:10","FACTORY_C","115.00","43.98","7.11","78.40"
"252","2026-02-01 04:11","FACTORY_C","115.00","46.76","7.16","81.80"
"253","2026-02-01 04:12","FACTORY_C","115.00","45.45","7.18","84.66"
"254","2026-02-01 04:13","FACTORY_C","115.00","44.08","7.16","75.41"
"255","2026-02-01 04:14","FACTORY_C","115.00","46.19","7.24","75.78"
"256","2026-02-01 04:15","FACTORY_C","115.00","44.65","7.22","81.75"
"257","2026-02-01 04:16","FACTORY_C","115.00","46.93","7.24","82.20"
"258","2026-02-01 04:17","FACTORY_C","115.00","43.06","7.22","84.88"
"259","2026-02-01 04:18","FACTORY_C","115.00","44.23","7.10","78.72"
"260","2026-02-01 04:19","FACTORY_C","115.00","46.14","7.19","74.50"
"261","2026-02-01 04:20","FACTORY_C","115.00","45.00","7.18","75.41"
"262","2026-02-01 04:21","FACTORY_C","115.00","41.60","7.10","82.40"
"263","2026-02-01 04:22","FACTORY_C","115.00","41.42","7.18","88.32"
"264","2026-02-01 04:23","FACTORY_C","115.00","45.07","7.17","82.33"
"265","2026-02-01 04:24","FACTORY_C","115.00","48.49","7.28","82.87"
"266","2026-02-01 04:25","FACTORY_C","115.00","44.40","7.27","79.27"
"267","2026-02-01 04:26","FACTORY_C","115.00","45.23","7.16","75.91"
"268","2026-02-01 04:27","FACTORY_C","115.00","47.32","7.10","80.03"
"269","2026-02-01 04:28","FACTORY_C","115.00","45.23","7.21","80.53"
"270","2026-02-01 04:29","FACTORY_C","115.00","43.15","7.23","77.68"
"271","2026-02-01 04:30","FACTORY_C","115.00","44.18","7.18","82.11"
"272","2026-02-01 04:31","FACTORY_C","115.00","44.80","7.22","85.66"
"273","2026-02-01 04:32","FACTORY_C","115.00","47.15","7.14","81.10"
"274","2026-02-01 04:33","FACTORY_C","115.00","47.59","7.26","86.38"
"275","2026-02-01 04:34","FACTORY_C","115.00","47.06","7.14","76.81"
"276","2026-02-01 04:35","FACTORY_C","115.00","47.80","7.14","76.89"
"277","2026-02-01 04:36","FACTORY_C","115.00","46.64","7.15","88.62"
"278","2026-02-01 04:37","FACTORY_C","115.00","45.17","7.19","86.52"
"279","2026-02-01 04:38","FACTORY_C","115.00","44.60","7.12","88.66"
"280","2026-02-01 04:39","FACTORY_C","115.00","46.86","7.20","70.67"
"281","2026-02-01 04:40","FACTORY_C","115.00","42.85","7.19","79.86"
"282","2026-02-01 04:41","FACTORY_C","115.00","46.04","7.24","82.34"
"283","2026-02-01 04:42","FACTORY_C","115.00","43.77","7.20","75.81"
"284","2026-02-01 04:43","FACTORY_C","115.00","45.37","7.20","72.37"
"285","2026-02-01 04:44","FACTORY_C","115.00","43.05","7.13","88.60"
"286","2026-02-01 04:45","FACTORY_C","115.00","48.69","7.28","75.51"
"287","2026-02-01 04:46","FACTORY_C","115.00","43.08","7.11","79.36"
"288","2026-02-01 04:47","FACTORY_C","115.00","43.76","7.19","72.33"
"289","2026-02-01 04:48","FACTORY_C","115.00","45.58","7.23","76.29"
"290","2026-02-01 04:49","FACTORY_C","115.00","45.90","7.21","66.93"
"291","2026-02-01 04:50","FACTORY_C","115.00","45.40","7.21","87.71"
"292","2026-02-01 04:51","FACTORY_C","115.00","44.23","7.24","84.10"
"293","2026-02-01 04:52","FACTORY_C","115.00","45.08","7.26","86.75"
"294","2026-02-01 04:53","FACTORY_C","115.00","43.48","7.22","84.51"
"295","2026-02-01 04:54","FACTORY_C","115.00","45.37","7.22","85.20"
"296","2026-02-01 04:55","FACTORY_C","115.00","45.24","7.21","81.21"
"297","2026-02-01 04:56","FACTORY_C","115.00","44.09","7.14","73.23"
"298","2026-02-01 04:57","FACTORY_C","115.00","45.53","7.26","93.28"
"299","2026-02-01 04:58","FACTORY_C","115.00","43.67","7.14","77.78"
"300","2026-02-01 04:59","FACTORY_C","115.00","44.45","7.23","72.41"
"301","2026-02-01 05:00","FACTORY_C","115.00","44.07","7.15","86.53"
"302","2026-02-01 05:01","FACTORY_C","115.00","44.74","7.20","89.61"
"303","2026-02-01 05:02","FACTORY_C","115.00","41.92","7.18","79.40"
"304","2026-02-01 05:03","FACTORY_C","115.00","45.86","7.15","80.57"
"305","2026-02-01 05:04","FACTORY_C","115.00","44.26","7.19","87.17"
"306","2026-02-01 05:05","FACTORY_C","115.00","42.76","7.17","77.88"
"307","2026-02-01 05:06","FACTORY_C","115.00","45.44","7.23","74.36"
"308","2026-02-01 05:07","FACTORY_C","115.00","42.54","7.22","85.65"
"309","2026-02-01 05:08","FACTORY_C","115.00","42.58","7.25","80.52"
"310","2026-02-01 05:09","FACTORY_C","115.00","45.03","7.11","87.43"
"311","2026-02-01 05:10","FACTORY_C","115.00","42.64","7.14","83.22"
"312","2026-02-01 05:11","FACTORY_C","115.00","45.37","7.16","78.29"
"313","2026-02-01 05:12","FACTORY_C","115.00","45.44","7.24","79.87"
"314","2026-02-01 05:13","FACTORY_C","115.00","43.77","7.16","76.63"
"315","2026-02-01 05:14","FACTORY_C","115.00","48.20","7.19","76.19"
"316","2026-02-01 05:15","FACTORY_C","115.00","45.54","7.12","83.31"
"317","2026-02-01 05:16","FACTORY_C","115.00","46.40","7.20","82.67"
"318","2026-02-01 05:17","FACTORY_C","115.00","44.35","7.23","83.81"
"319","2026-02-01 05:18","FACTORY_C","115.00","42.56","7.31","75.81"
"320","2026-02-01 05:19","FACTORY_C","115.00","46.82","7.22","82.74"
"321","2026-02-01 05:20","FACTORY_C","115.00","44.77","7.27","81.12"
"322","2026-02-01 05:21","FACTORY_C","115.00","43.28","7.17","72.80"
"323","2026-02-01 05:22","FACTORY_C","115.00","45.37","7.15","84.85"
"324","2026-02-01 05:23","FACTORY_C","115.00","45.87","7.23","80.62"
"325","2026-02-01 05:24","FACTORY_C","115.00","47.89","7.22","86.56"
"326","2026-02-01 05:25","FACTORY_C","115.00","42.83","7.26","77.85"
"327","2026-02-01 05:26","FACTORY_C","115.00","44.41","7.20","77.01"
"328","2026-02-01 05:27","FACTORY_C","115.00","47.21","7.24","76.41"
"329","2026-02-01 05:28","FACTORY_C","115.00","44.17","7.23","79.88"
"330","2026-02-01 05:29","FACTORY_C","115.00","49.20","7.20","85.22"
"331","2026-02-01 05:30","FACTORY_C","115.00","44.08","7.20","88.44"
"332","2026-02-01 05:31","FACTORY_C","115.00","41.91","7.22","76.03"
"333","2026-02-01 05:32","FACTORY_C","115.00","42.46","7.12","73.99"
"334","2026-02-01 05:33","FACTORY_C","115.00","47.76","7.25","84.24"
"335","2026-02-01 05:34","FACTORY_C","115.00","45.57","7.26","83.50"
"336","2026-02-01 05:35","FACTORY_C","115.00","46.67","7.17","78.55"
"337","2026-02-01 05:36","FACTORY_C","115.00","44.37","7.23","80.15"
"338","2026-02-01 05:37","FACTORY_C","115.00","43.42","7.11","85.75"
"339","2026-02-01 05:38","FACTORY_C","115.00","44.16","7.17","82.39"
"340","2026-02-01 05:39","FACTORY_C","115.00","41.50","7.14","77.57"
"341","2026-02-01 05:40","FACTORY_C","115.00","41.42","7.11","78.05"
"342","2026-02-01 05:41","FACTORY_C","115.00","46.70","7.17","76.91"
"343","2026-02-01 05:42","FACTORY_C","115.00","44.01","7.24","80.52"
"344","2026-02-01 05:43","FACTORY_C","115.00","43.86","7.23","71.73"
"345","2026-02-01 05:44","FACTORY_C","115.00","43.50","7.22","78.04"
"346","2026-02-01 05:45","FACTORY_C","115.00","47.04","7.20","81.18"
"347","2026-02-01 05:46","FACTORY_C","115.00","43.42","7.15","80.78"
"348","2026-02-01 05:47","FACTORY_C","115.00","46.19","7.22","80.52"
"349","2026-02-01 05:48","FACTORY_C","115.00","43.81","7.29","83.51"
"350","2026-02-01 05:49","FACTORY_C","115.00","46.94","7.16","85.14"
"351","2026-02-01 05:50","FACTORY_C","115.00","46.03","7.28","68.10"
"352","2026-02-01 05:51","FACTORY_C","115.00","42.98","7.18","73.17"
"353","2026-02-01 05:52","FACTORY_C","115.00","44.28","7.19","78.91"
"354","2026-02-01 05:53","FACTORY_C","115.00","43.37","7.18","84.68"
"355","2026-02-01 05:54","FACTORY_C","115.00","44.90","7.19","80.00"
